snomedConcept,snomedIdentifier,descendantId,descendantConcept,propagation,coverage
Phobia (finding),386808001,102923006,Teratophobia (finding),41,41
Phobia (finding),386808001,102922001,Tocophobia (finding),41,41
Phobia (finding),386808001,102921008,Toxicophobia (finding),41,41
Phobia (finding),386808001,102918006,Microphobia (finding),41,41
Phobia (finding),386808001,102917001,Fear of blood (finding),41,41
Phobia (finding),386808001,102915009,Nosophobia (finding),41,41
Phobia (finding),386808001,102913002,Taphophobia (finding),41,41
Phobia (finding),386808001,89225005,Anxiety about blushing (finding),41,41
Phobia (finding),386808001,75007009,Algophobia (finding),41,41
Phobia (finding),386808001,58963008,Acrophobia (finding),41,41
Phobia (finding),386808001,54746005,Erotophobia (finding),41,41
Phobia (finding),386808001,54307006,Zoophobia (finding),41,41
Phobia (finding),386808001,38617005,Dental phobia (finding),41,41
Phobia (finding),386808001,34652008,Xenophobia (finding),41,41
Phobia (finding),386808001,31492004,Fear of school (finding),41,41
Phobia (finding),386808001,24109003,Bromhidrosiphobia (finding),41,41
Phobia (finding),386808001,19887002,Claustrophobia (finding),41,41
Phobia (finding),386808001,19512009,Fear of insects (finding),41,41
Jet lag (finding),387604006,387604006,Jet lag (finding),1,1
Glioma (disorder),393564001,724807008,Glioma of central nervous system (disorder),2,2
Glioma (disorder),393564001,393564001,Glioma (disorder),2,2
Stuttering (finding),39423001,141451000119109,Adult onset stuttering (finding),7,7
Stuttering (finding),39423001,141441000119107,Childhood onset stuttering (finding),7,7
Stuttering (finding),39423001,229633005,Borderline stuttering (finding),7,7
Stuttering (finding),39423001,229628006,Covert stuttering (finding),7,7
Stuttering (finding),39423001,229627001,Secondary stuttering (finding),7,7
Stuttering (finding),39423001,229626005,Primary stuttering (finding),7,7
Stuttering (finding),39423001,39423001,Stuttering (finding),7,7
Anhidrosis (disorder),39659002,735190001,Heat exhaustion co-occurrent and due to anhidrosis (disorder),6,6
Anhidrosis (disorder),39659002,724816007,Acquired anhidrosis co-occurrent and due to primary autonomic disorder (disorder),6,6
Anhidrosis (disorder),39659002,723149006,Idiopathic pure sudomotor failure (disorder),6,6
Anhidrosis (disorder),39659002,230667002,Chronic idiopathic anhidrosis (disorder),6,6
Anhidrosis (disorder),39659002,39659002,Anhidrosis (disorder),6,6
Anhidrosis (disorder),39659002,28619004,Tropical anhidrotic asthenia (disorder),6,6
Tension-type headache (disorder),398057008,398057008,Tension-type headache (disorder),1,1
Hereditary motor and sensory neuropathy (disorder),398100001,782881002,Hereditary sensorimotor neuropathy with hyperelastic skin (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,778003000,Autosomal dominant intermediate Charcot-Marie-Tooth disease with neuropathic pain (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,773414009,Autosomal recessive intermediate Charcot-Marie-Tooth disease type C (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,773330000,Autosomal recessive intermediate Charcot-Marie-Tooth disease type B (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,773308001,Autosomal recessive intermediate Charcot-Marie-Tooth disease type A (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,771261002,Digital extensor muscle aplasia with polyneuropathy (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,771144005,Hereditary motor and sensory neuropathy with acrodystrophy (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,771143004,Hereditary motor and sensory neuropathy type 5 (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,770759001,Autosomal dominant intermediate Charcot-Marie-Tooth disease type F (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,766977007,Severe early-onset axonal neuropathy due to mitofusin 2 deficiency (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,765747004,Autosomal dominant intermediate Charcot-Marie-Tooth disease type D (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,765746008,Autosomal dominant intermediate Charcot-Marie-Tooth disease type C (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,765745007,Autosomal dominant intermediate Charcot-Marie-Tooth disease type B (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,765744006,Autosomal dominant intermediate Charcot-Marie-Tooth disease type A (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,764854006,Autosomal dominant slowed nerve conduction velocity (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,763798008,"Microcephalus, complex motor and sensory axonal neuropathy syndrome (disorder)",32,32
Hereditary motor and sensory neuropathy (disorder),398100001,763136000,"Charcot-Marie-Tooth disease, deafness, intellectual disability syndrome (disorder)",32,32
Hereditary motor and sensory neuropathy (disorder),398100001,722294004,Autosomal dominant intermediate Charcot-Marie-Tooth disease type E (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,715795005,Charcot-Marie-Tooth disease type 4 (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,715665006,Hereditary motor and sensory neuropathy Okinawa type (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,715645004,Hereditary thermosensitive neuropathy (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,702439002,Agenesis of corpus callosum with peripheral neuropathy (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,398187000,"Charcot-Marie-Tooth disease, type II (disorder)",32,32
Hereditary motor and sensory neuropathy (disorder),398100001,398100001,Hereditary motor and sensory neuropathy (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,398040009,"Charcot-Marie-Tooth disease, type I (disorder)",32,32
Hereditary motor and sensory neuropathy (disorder),398100001,230552007,X-linked hereditary motor and sensory neuropathy (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,128204009,Hereditary motor and sensory neuropathy with retinitis pigmentosa (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,128203003,Hereditary motor and sensory neuropathy with optic atrophy (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,111499002,Déjérine-Sottas disease (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,45853006,Roussy-Lévy syndrome (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,25362006,Phytanic acid storage disease (disorder),32,32
Hereditary motor and sensory neuropathy (disorder),398100001,11442006,Hereditary sensory neuropathy (disorder),32,32
Rosacea (disorder),398909004,724848006,Phymatous rosacea (disorder),11,11
Rosacea (disorder),398909004,403656003,Rosacea caused by topical corticosteroid (disorder),11,11
Rosacea (disorder),398909004,403366003,Extrafacial rosacea (disorder),11,11
Rosacea (disorder),398909004,403365004,Photoaggravated rosacea (disorder),11,11
Rosacea (disorder),398909004,398909004,Rosacea (disorder),11,11
Rosacea (disorder),398909004,231800009,Rosacea of skin of eyelid (disorder),11,11
Rosacea (disorder),398909004,200933006,Ocular rosacea (disorder),11,11
Rosacea (disorder),398909004,200932001,Lupoid rosacea (disorder),11,11
Rosacea (disorder),398909004,75867005,"Acne rosacea, papular type (disorder)",11,11
Rosacea (disorder),398909004,53650003,"Acne rosacea, glandular hyperplastic type (disorder)",11,11
Rosacea (disorder),398909004,257006,"Acne rosacea, erythematous telangiectatic type (disorder)",11,11
Adhesive capsulitis of shoulder (disorder),399114005,399114005,Adhesive capsulitis of shoulder (disorder),1,1
Burning mouth syndrome (disorder),399165002,399165002,Burning mouth syndrome (disorder),2,2
Burning mouth syndrome (disorder),399165002,399044006,Glossopyrosis (disorder),2,2
Hemochromatosis (disorder),399187006,399187006,Hemochromatosis (disorder),9,9
Hemochromatosis (disorder),399187006,399170009,Primary hemochromatosis (disorder),9,9
Hemochromatosis (disorder),399187006,399144008,Bronze diabetes (disorder),9,9
Hemochromatosis (disorder),399187006,399126000,Bronze cirrhosis (disorder),9,9
Hemochromatosis (disorder),399187006,399053004,Idiopathic hemochromatosis (disorder),9,9
Hemochromatosis (disorder),399187006,53836006,Secondary hemochromatosis (disorder),9,9
Hemochromatosis (disorder),399187006,50855007,Juvenile hemochromatosis (disorder),9,9
Hemochromatosis (disorder),399187006,35400008,Hereditary hemochromatosis (disorder),9,9
Hemochromatosis (disorder),399187006,6160004,Neonatal hemochromatosis (disorder),9,9
Melanocytic nevus (disorder),400096001,822990004,Recurrent melanocytic nevus (disorder),9,9
Melanocytic nevus (disorder),400096001,449289002,Melanocytic nevus of tongue (disorder),9,9
Melanocytic nevus (disorder),400096001,400096001,Melanocytic nevus (disorder),9,9
Melanocytic nevus (disorder),400096001,400010006,Melanocytic nevus of skin (disorder),9,9
Melanocytic nevus (disorder),400096001,399899001,Acquired melanocytic nevus (disorder),9,9
Melanocytic nevus (disorder),400096001,398696001,Congenital pigmented melanocytic nevus (disorder),9,9
Melanocytic nevus (disorder),400096001,255006004,Nevus of conjunctiva (disorder),9,9
Melanocytic nevus (disorder),400096001,231827008,Nevus of eyelid (disorder),9,9
Melanocytic nevus (disorder),400096001,109271004,Melanocytic nevus of lip (disorder),9,9
Ingrowing toenail (disorder),400200009,15749761000119107,Ingrowing nail of toe of left foot (disorder),5,5
Ingrowing toenail (disorder),400200009,15749721000119102,Ingrowing nail of toe of right foot (disorder),5,5
Ingrowing toenail (disorder),400200009,400200009,Ingrowing toenail (disorder),5,5
Ingrowing toenail (disorder),400200009,201109009,Ingrowing toenail (excluding great toe) (disorder),5,5
Ingrowing toenail (disorder),400200009,201108001,Ingrowing great toenail (disorder),5,5
Hemangioma (disorder),400210000,685031000119100,Hemangioma of muscle (disorder),25,25
Hemangioma (disorder),400210000,685021000119103,Hemangioma of bone (disorder),25,25
Hemangioma (disorder),400210000,121951000119101,Hemangioma of orbit (disorder),25,25
Hemangioma (disorder),400210000,32361000119104,Congenital hemangioma (disorder),25,25
Hemangioma (disorder),400210000,1010659006,Segmental infantile hemangioma (disorder),25,25
Hemangioma (disorder),400210000,703295003,Noninvoluting congenital hemangioma (disorder),25,25
Hemangioma (disorder),400210000,703294004,Rapidly involuting congenital hemangioma (disorder),25,25
Hemangioma (disorder),400210000,703270004,Infantile hemangioma of rare localization (disorder),25,25
Hemangioma (disorder),400210000,703269000,Giant infantile hemangioma (disorder),25,25
Hemangioma (disorder),400210000,703199001,Laryngotracheal hemangioma (disorder),25,25
Hemangioma (disorder),400210000,449258001,Hemangioma of chest wall (disorder),25,25
Hemangioma (disorder),400210000,449257006,Hemangioma of abdominal wall (disorder),25,25
Hemangioma (disorder),400210000,449174000,Hemangioma of peritoneum (disorder),25,25
Hemangioma (disorder),400210000,448996004,Hemangioma of axilla (disorder),25,25
Hemangioma (disorder),400210000,448610006,Hemangioma of face (disorder),25,25
Hemangioma (disorder),400210000,448232005,Hemangioma of vertebral column (disorder),25,25
Hemangioma (disorder),400210000,448055000,Hemangioma of neck (disorder),25,25
Hemangioma (disorder),400210000,448022005,Postauricular hemangioma (disorder),25,25
Hemangioma (disorder),400210000,403963001,Hemangioma of oral cavity (disorder),25,25
Hemangioma (disorder),400210000,400210000,Hemangioma (disorder),25,25
Hemangioma (disorder),400210000,271481007,Hemangioma of skin and subcutaneous tissue (disorder),25,25
Hemangioma (disorder),400210000,255022003,Hemangioma of choroid (disorder),25,25
Hemangioma (disorder),400210000,189197001,Hemangioma of intra-abdominal structure (disorder),25,25
Hemangioma (disorder),400210000,93470007,Hemangioma of retina (disorder),25,25
Hemangioma (disorder),400210000,93468003,Hemangioma of intracranial structure (disorder),25,25
Squamous cell carcinoma (disorder),402815007,105121000119102,Squamous cell carcinoma of vagina (disorder),18,18
Squamous cell carcinoma (disorder),402815007,770602005,Squamous cell carcinoma of exocrine pancreas (disorder),18,18
Squamous cell carcinoma (disorder),402815007,764737005,Squamous cell carcinoma of corpus uteri (disorder),18,18
Squamous cell carcinoma (disorder),402815007,719052006,Recurrent squamous cell carcinoma (disorder),18,18
Squamous cell carcinoma (disorder),402815007,716659002,Squamous cell carcinoma of head and neck (disorder),18,18
Squamous cell carcinoma (disorder),402815007,448931007,Squamous cell carcinoma of shoulder (disorder),18,18
Squamous cell carcinoma (disorder),402815007,448165009,Squamous cell carcinoma arising in chronic ulcer (disorder),18,18
Squamous cell carcinoma (disorder),402815007,403905005,Multiple squamous cell carcinomata (disorder),18,18
Squamous cell carcinoma (disorder),402815007,403903003,Signet ring squamous cell carcinoma (disorder),18,18
Squamous cell carcinoma (disorder),402815007,402817004,Squamous cell carcinoma of nail apparatus (disorder),18,18
Squamous cell carcinoma (disorder),402815007,402816008,Squamous cell carcinoma of anogenital area (disorder),18,18
Squamous cell carcinoma (disorder),402815007,402815007,Squamous cell carcinoma (disorder),18,18
Squamous cell carcinoma (disorder),402815007,399590005,Squamous cell carcinoma of prostate (disorder),18,18
Squamous cell carcinoma (disorder),402815007,276804009,Squamous cell carcinoma of esophagus (disorder),18,18
Squamous cell carcinoma (disorder),402815007,255111004,Squamous cell carcinoma of bladder (disorder),18,18
Squamous cell carcinoma (disorder),402815007,254886006,Squamous cell carcinoma of cervix (disorder),18,18
Squamous cell carcinoma (disorder),402815007,254651007,Squamous cell carcinoma of skin (disorder),18,18
Squamous cell carcinoma (disorder),402815007,254620000,Squamous cell carcinoma of trachea (disorder),18,18
Germ cell tumor (disorder),402878003,713577007,Germ cell tumor of testis (disorder),5,5
Germ cell tumor (disorder),402878003,429565004,Germ cell tumor of the brain (disorder),5,5
Germ cell tumor (disorder),402878003,402878003,Germ cell tumor (disorder),5,5
Germ cell tumor (disorder),402878003,277456001,Suprasellar germ cell tumor (disorder),5,5
Germ cell tumor (disorder),402878003,237059008,Germ cell tumor of ovary (disorder),5,5
BRCA1 mutation carrier detection test (procedure),405823003,405823003,BRCA1 mutation carrier detection test (procedure),1,1
Genetic test (procedure),405824009,405825005,Molecular genetic test (procedure),3,3
Genetic test (procedure),405824009,405824009,Genetic test (procedure),3,3
Genetic test (procedure),405824009,250177007,Human leukocyte antigen genotype determination (procedure),3,3
BRCA2 mutation carrier detection test (procedure),405826006,405826006,BRCA2 mutation carrier detection test (procedure),1,1
Dysphagia (disorder),40739000,291681000119108,Dysphagia due to and following non-traumatic subarachnoid hemorrhage (disorder),13,13
Dysphagia (disorder),40739000,290641000119107,Dysphagia due to and following non-traumatic intracerebral hemorrhage (disorder),13,13
Dysphagia (disorder),40739000,722875003,Functional dysphagia (disorder),13,13
Dysphagia (disorder),40739000,716180009,Odontoma dysphagia syndrome (disorder),13,13
Dysphagia (disorder),40739000,429975007,Oral phase dysphagia (disorder),13,13
Dysphagia (disorder),40739000,426033005,Dysphagia as a late effect of cerebrovascular accident (disorder),13,13
Dysphagia (disorder),40739000,235636002,Post-vagotomy dysphagia (disorder),13,13
Dysphagia (disorder),40739000,231719009,Dysphagia lusoria (disorder),13,13
Dysphagia (disorder),40739000,71457002,Oropharyngeal dysphagia (disorder),13,13
Dysphagia (disorder),40739000,65191003,Constant low-grade dysphagia (disorder),13,13
Dysphagia (disorder),40739000,40890009,Esophageal dysphagia (disorder),13,13
Dysphagia (disorder),40739000,40739000,Dysphagia (disorder),13,13
Dysphagia (disorder),40739000,19597002,Intermittent dysphagia (disorder),13,13
Counseling (procedure),409063005,25110001000004102,Counseling for management of colostomy (procedure),49,49
Counseling (procedure),409063005,25060001000004106,Counseling for management of ileostomy (procedure),49,49
Counseling (procedure),409063005,24830001000004106,Counseling for management of urostomy (procedure),49,49
Counseling (procedure),409063005,441041000124100,Counseling about nutrition (procedure),49,49
Counseling (procedure),409063005,737598000,Counseling for end of life issues (procedure),49,49
Counseling (procedure),409063005,737375007,Group counseling (procedure),49,49
Counseling (procedure),409063005,737360004,Preconception counseling (procedure),49,49
Counseling (procedure),409063005,711030000,Counseling about level of hope (procedure),49,49
Counseling (procedure),409063005,711029005,Counseling about breastfeeding (procedure),49,49
Counseling (procedure),409063005,711028002,Counseling about tobacco use (procedure),49,49
Counseling (procedure),409063005,710199005,Counseling about fear (procedure),49,49
Counseling (procedure),409063005,710198002,Counseling about spiritual distress (procedure),49,49
Counseling (procedure),409063005,702974008,Counseling for pneumococcal vaccination (procedure),49,49
Counseling (procedure),409063005,702972007,Counseling for influenza immunization (procedure),49,49
Counseling (procedure),409063005,702971000,Counseling for childhood immunization (procedure),49,49
Counseling (procedure),409063005,702633005,Counseling for intrauterine device contraception (procedure),49,49
Counseling (procedure),409063005,702599003,Counseling for infertility (procedure),49,49
Counseling (procedure),409063005,702595009,Counseling for fertility preservation (procedure),49,49
Counseling (procedure),409063005,702583009,Counseling for sterilization (procedure),49,49
Counseling (procedure),409063005,698506008,Supportive counseling (procedure),49,49
Counseling (procedure),409063005,445142003,Counseling about disease (procedure),49,49
Counseling (procedure),409063005,445061001,Preoperative counseling (procedure),49,49
Counseling (procedure),409063005,440215007,Counseling for unwanted pregnancy (procedure),49,49
Counseling (procedure),409063005,439885002,Counseling for spina bifida screening (procedure),49,49
Counseling (procedure),409063005,439421000,Counseling for menopause (procedure),49,49
Counseling (procedure),409063005,413473000,Counseling about alcohol consumption (procedure),49,49
Counseling (procedure),409063005,409066002,"Education, guidance and counseling (procedure)",49,49
Counseling (procedure),409063005,409063005,Counseling (procedure),49,49
Counseling (procedure),409063005,386302008,Unplanned pregnancy counseling (procedure),49,49
Counseling (procedure),409063005,315600006,Counseling for stress (procedure),49,49
Counseling (procedure),409063005,313078004,Counseling for loss (procedure),49,49
Counseling (procedure),409063005,313073008,Counseling of crime victim (procedure),49,49
Counseling (procedure),409063005,311764000,Family counseling (procedure),49,49
Counseling (procedure),409063005,310359007,Prognosis counseling (procedure),49,49
Counseling (procedure),409063005,310358004,Counseling about serious diagnosis (procedure),49,49
Counseling (procedure),409063005,243224001,Social therapy (regime/therapy),49,49
Counseling (procedure),409063005,243069004,Counseling for abuse (procedure),49,49
Counseling (procedure),409063005,243068007,Counseling about bullying (procedure),49,49
Counseling (procedure),409063005,243067002,Counseling about coping strategies (procedure),49,49
Counseling (procedure),409063005,225328009,Pre-screening counseling (procedure),49,49
Counseling (procedure),409063005,171022008,Psychological counseling (procedure),49,49
Counseling (procedure),409063005,171014001,Medical counseling (procedure),49,49
Counseling (procedure),409063005,171009000,Counseling for mastectomy (procedure),49,49
Counseling (procedure),409063005,171000001,Social counseling (procedure),49,49
Counseling (procedure),409063005,108226001,Specific patient counseling session (procedure),49,49
Counseling (procedure),409063005,105393000,Counseling by chaplain (regime/therapy),49,49
Counseling (procedure),409063005,66800001,Counseling by physiotherapist (procedure),49,49
Counseling (procedure),409063005,33697008,Geriatric counseling (procedure),49,49
Counseling (procedure),409063005,10383002,Counseling for termination of pregnancy (procedure),49,49
Hypothyroidism (disorder),40930008,10809101000119109,Hypothyroidism in childbirth (disorder),15,15
Hypothyroidism (disorder),40930008,716338001,Muscular pseudohypertrophy and hypothyroidism syndrome (disorder),15,15
Hypothyroidism (disorder),40930008,428165003,Hypothyroidism in pregnancy (disorder),15,15
Hypothyroidism (disorder),40930008,405629002,Infant hypothyroidism (disorder),15,15
Hypothyroidism (disorder),40930008,216693007,Hypothyroid dwarfism (disorder),15,15
Hypothyroidism (disorder),40930008,190268003,Congenital hypothyroidism (disorder),15,15
Hypothyroidism (disorder),40930008,111566002,Acquired hypothyroidism (disorder),15,15
Hypothyroidism (disorder),40930008,83986005,Severe hypothyroidism (disorder),15,15
Hypothyroidism (disorder),40930008,82598004,Secondary hypothyroidism (disorder),15,15
Hypothyroidism (disorder),40930008,57185003,Primary hypothyroidism (disorder),15,15
Hypothyroidism (disorder),40930008,54823002,Subclinical hypothyroidism (disorder),15,15
Hypothyroidism (disorder),40930008,43153006,Myxedema (disorder),15,15
Hypothyroidism (disorder),40930008,40930008,Hypothyroidism (disorder),15,15
Hypothyroidism (disorder),40930008,26692000,Central hypothyroidism (disorder),15,15
Hypothyroidism (disorder),40930008,2917005,Transient hypothyroidism (disorder),15,15
Intermittent explosive disorder (disorder),40987004,40987004,Intermittent explosive disorder (disorder),1,1
Cardiac arrest (disorder),410429000,10760181000119109,Cardiac arrest due to miscarriage (disorder),23,23
Cardiac arrest (disorder),410429000,10750641000119101,Cardiac arrest due to failed attempted abortion (disorder),23,23
Cardiac arrest (disorder),410429000,10745231000119102,Cardiac arrest due to administration of anesthesia for obstetric procedure in pregnancy (disorder),23,23
Cardiac arrest (disorder),410429000,1010446009,Illegal abortion complicated by cardiac arrest (disorder),23,23
Cardiac arrest (disorder),410429000,716050002,Cardiac arrest during surgery (disorder),23,23
Cardiac arrest (disorder),410429000,703162001,Bradycardic cardiac arrest (disorder),23,23
Cardiac arrest (disorder),410429000,609506003,Induced termination of pregnancy complicated by cardiac arrest (disorder),23,23
Cardiac arrest (disorder),410429000,424571008,Cardiac arrest due to drowning (disorder),23,23
Cardiac arrest (disorder),410429000,423191000,Cardiac arrest due to cardiac disorder (disorder),23,23
Cardiac arrest (disorder),410429000,423168004,Cardiac arrest due to respiratory disorder (disorder),23,23
Cardiac arrest (disorder),410429000,422970001,Cardiac arrest due to trauma (disorder),23,23
Cardiac arrest (disorder),410429000,410430005,Cardiorespiratory arrest (disorder),23,23
Cardiac arrest (disorder),410429000,410429000,Cardiac arrest (disorder),23,23
Cardiac arrest (disorder),410429000,397829000,Asystole (disorder),23,23
Cardiac arrest (disorder),410429000,261195002,Circulatory arrest (disorder),23,23
Cardiac arrest (disorder),410429000,234172002,Electromechanical dissociation (disorder),23,23
Cardiac arrest (disorder),410429000,233927002,Cardiac arrest with successful resuscitation (disorder),23,23
Cardiac arrest (disorder),410429000,213213007,Cardiac arrest as a complication of care (disorder),23,23
Cardiac arrest (disorder),410429000,179924009,Cardiac arrest in fetus OR newborn (disorder),23,23
Cardiac arrest (disorder),410429000,86152005,Cardiac arrest during AND/OR resulting from a procedure (disorder),23,23
Cardiac arrest (disorder),410429000,78240009,Cardiac arrest due to pacemaker failure (disorder),23,23
Cardiac arrest (disorder),410429000,71908006,Ventricular fibrillation (disorder),23,23
Cardiac arrest (disorder),410429000,16574001,Cardiac arrest after obstetrical surgery AND/OR other procedure including delivery (disorder),23,23
Presbyopia (disorder),41256004,41256004,Presbyopia (disorder),1,1
Angioedema (disorder),41291007,846758008,Drug-induced angioedema-urticaria (disorder),17,17
Angioedema (disorder),41291007,846579005,Angioedema of lip (disorder),17,17
Angioedema (disorder),41291007,846577007,Angioedema of eyelid (disorder),17,17
Angioedema (disorder),41291007,844575001,Respiratory angioedema (disorder),17,17
Angioedema (disorder),41291007,724831003,Physical angioedema (disorder),17,17
Angioedema (disorder),41291007,703795004,Angioedema due to disorder of kinin metabolism (disorder),17,17
Angioedema (disorder),41291007,402411005,Cholinergic angioedema (disorder),17,17
Angioedema (disorder),41291007,402407004,Angioedema of tongue (disorder),17,17
Angioedema (disorder),41291007,402404006,Episodic angioedema with eosinophilia (disorder),17,17
Angioedema (disorder),41291007,402401003,Autoimmune angioedema (disorder),17,17
Angioedema (disorder),41291007,402387002,Allergic angioedema (disorder),17,17
Angioedema (disorder),41291007,402382008,Idiopathic angioedema (disorder),17,17
Angioedema (disorder),41291007,241964004,Sodium benzoate-induced angioedema-urticaria (disorder),17,17
Angioedema (disorder),41291007,241963005,Azo-dye-induced angioedema-urticaria (disorder),17,17
Angioedema (disorder),41291007,241962000,Chemical-aggravated angioedema-urticaria (disorder),17,17
Angioedema (disorder),41291007,82966003,Hereditary angioedema (disorder),17,17
Angioedema (disorder),41291007,41291007,Angioedema (disorder),17,17
Rickets (disorder),41345002,726080006,Autosomal recessive hypophosphatemic rickets (disorder),14,14
Rickets (disorder),41345002,722947004,Hypocalcemic rickets (disorder),14,14
Rickets (disorder),41345002,276702002,Neonatal rickets (disorder),14,14
Rickets (disorder),41345002,275404008,Celiac rickets (disorder),14,14
Rickets (disorder),41345002,237889002,Autosomal dominant hypophosphatemic rickets (disorder),14,14
Rickets (disorder),41345002,190860000,Hypophosphatasia rickets (disorder),14,14
Rickets (disorder),41345002,190640006,Active rickets (disorder),14,14
Rickets (disorder),41345002,82236004,Familial x-linked hypophosphatemic vitamin D refractory rickets (disorder),14,14
Rickets (disorder),41345002,70079009,Late effects of rickets (one year OR more) (disorder),14,14
Rickets (disorder),41345002,68295002,Vitamin D-dependent rickets (disorder),14,14
Rickets (disorder),41345002,66266003,Phosphopenic type rickets (disorder),14,14
Rickets (disorder),41345002,56233004,Calcipenic type rickets (disorder),14,14
Rickets (disorder),41345002,41345002,Rickets (disorder),14,14
Rickets (disorder),41345002,23569000,Glucoaminophosphaturia syndrome with rickets (disorder),14,14
Intoxication with Clostridium botulinum toxin (disorder),414531002,414531002,Intoxication with Clostridium botulinum toxin (disorder),5,5
Intoxication with Clostridium botulinum toxin (disorder),414531002,414488002,Infantile botulism (disorder),5,5
Intoxication with Clostridium botulinum toxin (disorder),414531002,409563004,Intestinal botulism (disorder),5,5
Intoxication with Clostridium botulinum toxin (disorder),414531002,409562009,Inhalational botulism (disorder),5,5
Intoxication with Clostridium botulinum toxin (disorder),414531002,398523009,Foodborne botulism (disorder),5,5
Obesity (disorder),414916001,10750551000119100,Obesity in mother complicating childbirth (disorder),24,24
Obesity (disorder),414916001,83911000119104,Severe obesity (disorder),24,24
Obesity (disorder),414916001,774102003,"Intellectual disability, obesity, prognathism, eye and skin anomalies syndrome (disorder)",24,24
Obesity (disorder),414916001,770680004,Prader-Willi-like syndrome (disorder),24,24
Obesity (disorder),414916001,763350002,"Intellectual disability, obesity, brain malformation, facial dysmorphism syndrome (disorder)",24,24
Obesity (disorder),414916001,724137002,"Macrocephaly, obesity, mental disability, ocular abnormality syndrome (disorder)",24,24
Obesity (disorder),414916001,722596001,Obesity caused by energy imbalance (disorder),24,24
Obesity (disorder),414916001,722053001,Obesity due to prohormone convertase I deficiency (disorder),24,24
Obesity (disorder),414916001,722051004,"Obesity, colitis, hypothyroidism, cardiac hypertrophy, developmental delay syndrome (disorder)",24,24
Obesity (disorder),414916001,722037004,"Intellectual disability, epileptic seizures, hypogonadism and hypogenitalism, microcephaly, obesity syndrome (disorder)",24,24
Obesity (disorder),414916001,719160009,Syndromic X-linked intellectual disability type 7 (disorder),24,24
Obesity (disorder),414916001,717761005,Choroideremia with deafness and obesity syndrome (disorder),24,24
Obesity (disorder),414916001,717269008,Obesity due to melanocortin 4 receptor deficiency (disorder),24,24
Obesity (disorder),414916001,415530009,Simple obesity (disorder),24,24
Obesity (disorder),414916001,414920002,Obesity by fat distribution pattern (disorder),24,24
Obesity (disorder),414916001,414919008,Obesity by contributing factors (disorder),24,24
Obesity (disorder),414916001,414918000,Obesity by age of onset (disorder),24,24
Obesity (disorder),414916001,414917005,Obesity by adipocyte growth pattern (disorder),24,24
Obesity (disorder),414916001,414916001,Obesity (disorder),24,24
Obesity (disorder),414916001,238136002,Morbid obesity (disorder),24,24
Obesity (disorder),414916001,190965006,Drug-induced obesity (disorder),24,24
Obesity (disorder),414916001,80660001,Mauriac's syndrome (disorder),24,24
Obesity (disorder),414916001,63702009,Alstrom syndrome (disorder),24,24
Obesity (disorder),414916001,44772007,Maternal obesity syndrome (disorder),24,24
Reactive attachment disorder (disorder),41526007,111477005,"Reactive attachment disorder of infancy OR early childhood, disinhibited type (disorder)",5,5
Reactive attachment disorder (disorder),41526007,44124003,Reactive attachment disorder of early childhood (disorder),5,5
Reactive attachment disorder (disorder),41526007,41526007,Reactive attachment disorder (disorder),5,5
Reactive attachment disorder (disorder),41526007,7291006,Reactive attachment disorder of infancy (disorder),5,5
Reactive attachment disorder (disorder),41526007,2312009,"Reactive attachment disorder of infancy OR early childhood, inhibited type (disorder)",5,5
Cavernous hemangioma (disorder),416824008,16207161000119102,Cavernous hemangioma of spinal cord (disorder),8,8
Cavernous hemangioma (disorder),416824008,838311008,Cavernous hemangioma of liver (disorder),8,8
Cavernous hemangioma (disorder),416824008,449154007,Cavernous hemangioma of scalp (disorder),8,8
