snomedConcept,snomedIdentifier,descendantId,descendantConcept,query,propagation,coverage
Pain in the coccyx (finding),34789001,34789001,Pain in the coccyx (finding),(<!30473006|Pain in pelvis (finding)| AND <!48926009|Pain in spine (finding)| AND <!116305001|Coccyx finding (finding)| AND <!161891005|Backache (finding)| AND <!10601006|Pain in lower limb (finding)|)&limit=7000,1,1
Tendinitis (disorder),34840004,424010006,Tendinitis of hip (disorder),(<!363179006|Inflammatory disorder of musculoskeletal system (disorder)| AND <!128482007|Acute inflammatory disease (disorder)| AND <!128481000|Acute disease of musculoskeletal system (disorder)| AND <!68172002|Disorder of tendon (disorder)|)&limit=7000,2,2
Tendinitis (disorder),34840004,34840004,Tendinitis (disorder),(<!363179006|Inflammatory disorder of musculoskeletal system (disorder)| AND <!128482007|Acute inflammatory disease (disorder)| AND <!128481000|Acute disease of musculoskeletal system (disorder)| AND <!68172002|Disorder of tendon (disorder)|)&limit=7000,2,2
Trisomy X syndrome (disorder),35111009,254283009,Mosaicism - lines with various numbers of X chromosomes (disorder),(<!111312006|Anomaly of chromosome X (disorder)| AND <!254277006|Sex chromosome abnormality - female phenotype (disorder)|)&limit=7000,3,3
Trisomy X syndrome (disorder),35111009,38804009,Turner syndrome (disorder),(<!111312006|Anomaly of chromosome X (disorder)| AND <!254277006|Sex chromosome abnormality - female phenotype (disorder)|)&limit=7000,3,3
Trisomy X syndrome (disorder),35111009,35111009,Trisomy X syndrome (disorder),(<!111312006|Anomaly of chromosome X (disorder)| AND <!254277006|Sex chromosome abnormality - female phenotype (disorder)|)&limit=7000,3,3
Graves' disease (disorder),353295004,353295004,Graves' disease (disorder),(<!362985009|Antibody-mediated activation and inactivation (disorder)| AND <!237822008|Autoimmune endocrine disease (disorder)| AND <!237498007|Toxic goiter (disorder)|)&limit=7000,1,1
Panic disorder with agoraphobia (disorder),35607004,35607004,Panic disorder with agoraphobia (disorder),(<!70691001|Agoraphobia (disorder)| AND <!371631005|Panic disorder (disorder)|)&limit=7000,1,1
Carcinoid syndrome (disorder),35868009,35868009,Carcinoid syndrome (disorder),(<!131139004|Increased serotonin level (finding)| AND <!253000007|Neuroendocrine carcinoma (disorder)| AND <!443492008|Carcinoid tumor (disorder)|)&limit=7000,1,1
Takayasu's disease (disorder),359789008,359789008,Takayasu's disease (disorder),(<!70933002|Aortitis (disorder)| AND <!407529009|Primary systemic arteritis (disorder)| AND <!448742006|Abnormality of aortic arch (disorder)|)&limit=7000,1,1
"Homogentisate 1,2-dioxygenase deficiency (disorder)",360378009,360378009,"Homogentisate 1,2-dioxygenase deficiency (disorder)",(<!37200009|Disorder of tyrosine metabolism (disorder)| AND <!85995004|Autosomal recessive hereditary disorder (disorder)| AND <!129456006|Specific enzyme deficiency (disorder)|)&limit=7000,1,1
Glomerulonephritis (disorder),36171008,36171008,Glomerulonephritis (disorder),(<!52845002|Nephritis (disorder)| AND <!197679002|Glomerular disease (disorder)|)&limit=7000,1,1
Injury of cartilage (disorder),363182001,363182001,Injury of cartilage (disorder),(<!385424001|Injury of connective tissue (disorder)| AND <!50927007|Cartilage disorder (disorder)| AND <!105606008|Injury of musculoskeletal system (disorder)|)&limit=7000,1,1
Malignant tumor of stomach (disorder),363349007,363349007,Malignant tumor of stomach (disorder),(<!126824007|Neoplasm of stomach (disorder)| AND <!255077007|Malignant tumor of digestive organ (disorder)| AND <!448882009|Malignant neoplasm of intraabdominal organ (disorder)| AND <!428905002|Malignant neoplasm of gastrointestinal tract (disorder)|)&limit=7000,1,1
Malignant tumor of rectum (disorder),363351006,363351006,Malignant tumor of rectum (disorder),(<!126847008|Neoplasm of rectum (disorder)| AND <!443488001|Malignant neoplasm of anorectum (disorder)| AND <!363484005|Malignant tumor of pelvis (disorder)| AND <!781382000|Malignant neoplasm of colon and/or rectum (disorder)|)&limit=7000,1,1
Malignant tumor of anal canal (disorder),363352004,363352004,Malignant tumor of anal canal (disorder),(<!363490009|Malignant tumor of anus (disorder)| AND <!126850006|Neoplasm of anal canal (disorder)|)&limit=7000,1,1
Malignant tumor of cervix (disorder),363354003,363354003,Malignant tumor of cervix (disorder),(<!371973000|Malignant neoplasm of uterus (disorder)| AND <!123841004|Neoplasm of uterine cervix (disorder)|)&limit=7000,1,1
Malignant tumor of lung (disorder),363358000,363358000,Malignant tumor of lung (disorder),(<!126713003|Neoplasm of lung (disorder)| AND <!188361007|Malignant neoplasm of thorax (disorder)| AND <!430621000|Malignant neoplasm of lower respiratory tract (disorder)|)&limit=7000,1,1
Malignant tumor of vulva (disorder),363367000,363367000,Malignant tumor of vulva (disorder),(<!430556008|Malignant neoplasm of genital structure (disorder)| AND <!126922007|Neoplasm of vulva (disorder)|)&limit=7000,1,1
Malignant tumor of esophagus (disorder),363402007,363402007,Malignant tumor of esophagus (disorder),(<!126817006|Neoplasm of esophagus (disorder)| AND <!255077007|Malignant tumor of digestive organ (disorder)| AND <!428905002|Malignant neoplasm of gastrointestinal tract (disorder)|)&limit=7000,1,1
Malignant neoplasm of colon (disorder),363406005,363406005,Malignant neoplasm of colon (disorder),(<!126838000|Neoplasm of colon (disorder)| AND <!781382000|Malignant neoplasm of colon and/or rectum (disorder)|)&limit=7000,1,1
Malignant tumor of pancreas (disorder),363418001,363418001,Malignant tumor of pancreas (disorder),(<!448882009|Malignant neoplasm of intraabdominal organ (disorder)| AND <!363420003|Malignant retroperitoneal tumor (disorder)| AND <!255077007|Malignant tumor of digestive organ (disorder)| AND <!126859007|Neoplasm of pancreas (disorder)|)&limit=7000,1,1
Malignant tumor of larynx (disorder),363429002,363429002,Malignant tumor of larynx (disorder),(<!363489000|Malignant tumor of neck (disorder)| AND <!449066004|Malignant neoplasm of upper respiratory tract (disorder)| AND <!126692004|Neoplasm of larynx (disorder)|)&limit=7000,1,1
Malignant tumor of ovary (disorder),363443007,363443007,Malignant tumor of ovary (disorder),(<!448882009|Malignant neoplasm of intraabdominal organ (disorder)| AND <!363514001|Malignant tumor of female genital organ (disorder)| AND <!123843001|Neoplasm of ovary (disorder)| AND <!428322007|Malignant neoplasm of uterine adnexa (disorder)|)&limit=7000,1,1
Malignant tumor of vagina (disorder),363445000,363445000,Malignant tumor of vagina (disorder),(<!430556008|Malignant neoplasm of genital structure (disorder)| AND <!126921000|Neoplasm of vagina (disorder)|)&limit=7000,1,1
Malignant tumor of testis (disorder),363449006,363449006,Malignant tumor of testis (disorder),(<!363515000|Malignant tumor of male genital organ (disorder)| AND <!126900000|Neoplasm of testis (disorder)|)&limit=7000,1,1
Malignant tumor of ureter (disorder),363458004,363458004,Malignant tumor of ureter (disorder),(<!188366002|Malignant neoplasm of abdomen (disorder)| AND <!363517008|Malignant tumor of urinary tract proper (disorder)| AND <!126882009|Neoplasm of ureter (disorder)| AND <!448233000|Malignant neoplasm of urinary organ (disorder)|)&limit=7000,1,1
Malignant tumor of thyroid gland (disorder),363478007,363478007,Malignant tumor of thyroid gland (disorder),(<!363489000|Malignant tumor of neck (disorder)| AND <!371982006|Malignant neoplasm of endocrine gland (disorder)| AND <!127018007|Neoplasm of thyroid gland (disorder)|)&limit=7000,1,1
Malignant tumor of oral cavity (disorder),363505006,363505006,Malignant tumor of oral cavity (disorder),"(<!235075007|Tumor of oral cavity (disorder)| AND <!271323007|Malignant neoplasm of lip, oral cavity and/or pharynx (disorder)|)&limit=7000",1,1
Malignant tumor of small intestine (disorder),363509000,363509000,Malignant tumor of small intestine (disorder),(<!363508008|Malignant tumor of intestine (disorder)| AND <!126832004|Neoplasm of small intestine (disorder)|)&limit=7000,1,1
Malignant tumor of kidney (disorder),363518003,363518003,Malignant tumor of kidney (disorder),(<!126880001|Neoplasm of kidney (disorder)| AND <!363420003|Malignant retroperitoneal tumor (disorder)| AND <!448233000|Malignant neoplasm of urinary organ (disorder)| AND <!448882009|Malignant neoplasm of intraabdominal organ (disorder)|)&limit=7000,1,1
Cholesteatoma (disorder),363668000,363668000,Cholesteatoma (disorder),(<!254666005|Keratosis (disorder)| AND <!33391000119104|Ear lesion (disorder)|)&limit=7000,1,1
Erythema multiforme (disorder),36715001,36715001,Erythema multiforme (disorder),(<!85828009|Autoimmune disease (disorder)| AND <!247440002|Skin or mucosa lesion (finding)| AND <!247441003|Erythema (finding)| AND <!362965005|Disorder of body system (disorder)|)&limit=7000,1,1
Contusion of eye (disorder),367423000,367423000,Contusion of eye (disorder),(<!735645009|Contusion of head (disorder)| AND <!282752000|Injury of eye region (disorder)|)&limit=7000,1,1
Repair of tendon of hand (procedure),367430006,367430006,Repair of tendon of hand (procedure),(<!274059009|Hand tendon operation (procedure)| AND <!281760001|Repair of tendon of upper limb (procedure)| AND <!119657005|Hand repair (procedure)|)&limit=7000,1,1
Nonulcer dyspepsia (disorder),3696007,871745001,Postprandial distress syndrome (disorder),(<!162031009|Indigestion (finding)| AND <!386211005|Disorder of function of stomach (disorder)|)&limit=7000,3,3
Nonulcer dyspepsia (disorder),3696007,331987008,Mild dietary indigestion (disorder),(<!162031009|Indigestion (finding)| AND <!386211005|Disorder of function of stomach (disorder)|)&limit=7000,3,3
Nonulcer dyspepsia (disorder),3696007,3696007,Nonulcer dyspepsia (disorder),(<!162031009|Indigestion (finding)| AND <!386211005|Disorder of function of stomach (disorder)|)&limit=7000,3,3
Sinusitis (disorder),36971009,36971009,Sinusitis (disorder),(<!363176004|Inflammatory disorder of head (disorder)| AND <!7393007|Disorder of nasal sinus (disorder)| AND <!129134004|Inflammatory disorder of upper respiratory tract (disorder)|)&limit=7000,1,1
Radiation sickness (disorder),370402009,370402009,Radiation sickness (disorder),(<!85983004|Disorder caused by exposure to ionizing radiation (disorder)| AND <!422400008|Vomiting (disorder)|)&limit=7000,1,1
Retinoblastoma (disorder),370967009,370967009,Retinoblastoma (disorder),(<!255046005|Neuroendocrine tumor (disorder)| AND <!735916009|Primary malignant neuroepithelial neoplasm of retina (disorder)|)&limit=7000,1,1
Disorder of carotid artery (disorder),371160000,371160000,Disorder of carotid artery (disorder),(<!62914000|Cerebrovascular disease (disorder)| AND <!401050002|Carotid artery finding (finding)| AND <!473449006|Disease of non-coronary systemic artery (disorder)|)&limit=7000,1,1
Erythromelalgia (disorder),37151006,37151006,Erythromelalgia (disorder),(<!95320005|Disorder of skin (disorder)| AND <!301358001|Pain of cardiovascular structure (finding)| AND <!400047006|Peripheral vascular disease (disorder)| AND <!301364008|Pain of skin (finding)| AND <!373673007|Disorder characterized by pain (disorder)|)&limit=7000,1,1
Goiter (disorder),3716002,3716002,Goiter (disorder),(<!406123005|Viscus structure finding (finding)| AND <!14304000|Disorder of thyroid gland (disorder)|)&limit=7000,1,1
Panic disorder (disorder),371631005,371631005,Panic disorder (disorder),(<!197480006|Anxiety disorder (disorder)| AND <!79823003|Panic (finding)|)&limit=7000,1,1
Coma (disorder),371632003,371632003,Coma (disorder),(<!118940003|Disorder of nervous system (disorder)| AND <!419045004|Loss of consciousness (finding)|)&limit=7000,1,1
Malignant neoplasm of uterus (disorder),371973000,371973000,Malignant neoplasm of uterus (disorder),(<!126908007|Neoplasm of uterus (disorder)| AND <!363484005|Malignant tumor of pelvis (disorder)| AND <!448882009|Malignant neoplasm of intraabdominal organ (disorder)| AND <!363514001|Malignant tumor of female genital organ (disorder)|)&limit=7000,1,1
Malignant neoplasm of female breast (disorder),372064008,372064008,Malignant neoplasm of female breast (disorder),(<!126927001|Neoplasm of female breast (disorder)| AND <!254837009|Malignant neoplasm of breast (disorder)|)&limit=7000,1,1
Malignant neoplasm of male breast (disorder),372095001,372095001,Malignant neoplasm of male breast (disorder),(<!126937006|Neoplasm of male breast (disorder)| AND <!254837009|Malignant neoplasm of breast (disorder)|)&limit=7000,1,1
Malignant neoplasm of skin (disorder),372130007,372130007,Malignant neoplasm of skin (disorder),(<!269469005|Malignant neoplasm of soft tissue (disorder)| AND <!126488004|Neoplasm of skin (disorder)|)&limit=7000,1,1
Arthritis (disorder),3723001,3723001,Arthritis (disorder),(<!298160000|Inflamed joint (finding)| AND <!363169009|Inflammation of specific body organs (disorder)| AND <!399269003|Arthropathy (disorder)| AND <!363179006|Inflammatory disorder of musculoskeletal system (disorder)|)&limit=7000,1,1
Idiopathic hypersomnia (disorder),3731000119107,3731000119107,Idiopathic hypersomnia (disorder),(<!41969006|Idiopathic disease (disorder)| AND <!36124002|Primary hypersomnia (disorder)|)&limit=7000,1,1
Substance with antifungal mechanism of action (substance),373219008,419241000,Substance with antibacterial mechanism of action (substance),(<!373249005|Anti-infective agent (substance)| AND <!766739005|Substance categorized by disposition (substance)|)&limit=7000,6,6
Substance with antifungal mechanism of action (substance),373219008,373219008,Substance with antifungal mechanism of action (substance),(<!373249005|Anti-infective agent (substance)| AND <!766739005|Substance categorized by disposition (substance)|)&limit=7000,6,6
Substance with antifungal mechanism of action (substance),373219008,372857007,Substance with antiprotozoal mechanism of action (substance),(<!373249005|Anti-infective agent (substance)| AND <!766739005|Substance categorized by disposition (substance)|)&limit=7000,6,6
Substance with antifungal mechanism of action (substance),373219008,372802005,Substance with anthelmintic mechanism of action (substance),(<!373249005|Anti-infective agent (substance)| AND <!766739005|Substance categorized by disposition (substance)|)&limit=7000,6,6
Substance with antifungal mechanism of action (substance),373219008,372701006,Substance with antiviral mechanism of action (substance),(<!373249005|Anti-infective agent (substance)| AND <!766739005|Substance categorized by disposition (substance)|)&limit=7000,6,6
Substance with antifungal mechanism of action (substance),373219008,24686008,Substance with acaricide mechanism of action (substance),(<!373249005|Anti-infective agent (substance)| AND <!766739005|Substance categorized by disposition (substance)|)&limit=7000,6,6
Inflammation of cervix (disorder),37610005,37610005,Inflammation of cervix (disorder),(<!63339007|Disorder of uterine cervix (disorder)| AND <!28783002|Inflammatory disease of the uterus (disorder)|)&limit=7000,1,1
Patellar tendonitis (disorder),37785001,37785001,Patellar tendonitis (disorder),(<!371081002|Arthritis of knee (disorder)| AND <!11939005|Acute arthritis (disorder)| AND <!429360005|Tendinitis of knee (disorder)| AND <!443120002|Inflammation of ligament (disorder)|)&limit=7000,1,1
Chilblains (disorder),37869000,37869000,Chilblains (disorder),(<!726523002|Injury caused by low temperature (disorder)| AND <!238506004|Cold-induced dermatosis (disorder)| AND <!234014009|Local cold injury (disorder)|)&limit=7000,1,1
Hypermetropia (disorder),38101003,38101003,Hypermetropia (disorder),(<!39021009|Disorder of refraction (disorder)| AND <!371405004|Disorder of eye proper (disorder)|)&limit=7000,1,1
Cholecystectomy (procedure),38102005,38102005,Cholecystectomy (procedure),(<!119916001|Biliary tract excision (procedure)| AND <!19744006|Operation on gallbladder (procedure)|)&limit=7000,1,1
"Hypertensive disorder, systemic arterial (disorder)",38341003,38341003,"Hypertensive disorder, systemic arterial (disorder)",(<!366157005|Finding of cardiovascular measurement (finding)| AND <!49601007|Disorder of cardiovascular system (disorder)|)&limit=7000,1,1
Vaginal pain (finding),38343000,38343000,Vaginal pain (finding),(<!289593005|Finding of sensation of vagina (finding)| AND <!162143008|Pain in female genitalia (finding)|)&limit=7000,1,1
Impaired cognition (finding),386806002,386806002,Impaired cognition (finding),"(<!384821006|Mental state, behavior and/or psychosocial function finding (finding)| AND <!373930000|Cognitive function finding (finding)|)&limit=7000",1,1
Endoscopy of stomach (procedure),386831001,386831001,Endoscopy of stomach (procedure),(<!118155006|Gastrointestinal tract endoscopy (procedure)| AND <!118830002|Procedure on stomach (procedure)| AND <!108191006|Abdomen endoscopy (procedure)|)&limit=7000,1,1
Trastuzumab (substance),387003001,838469001,Trastuzumab deruxtecan (substance),(<!49616005|Monoclonal antibody (substance)| AND <!784176007|Substance with human epidermal growth factor receptor 2 inhibitor mechanism of action (substance)| AND <!372823004|Immunosuppressant (substance)| AND <!372688009|Antineoplastic agent (substance)| AND <!304380002|Enzyme inhibitor protein (substance)|)&limit=7000,3,3
Trastuzumab (substance),387003001,702836004,Trastuzumab emtansine (substance),(<!49616005|Monoclonal antibody (substance)| AND <!784176007|Substance with human epidermal growth factor receptor 2 inhibitor mechanism of action (substance)| AND <!372823004|Immunosuppressant (substance)| AND <!372688009|Antineoplastic agent (substance)| AND <!304380002|Enzyme inhibitor protein (substance)|)&limit=7000,3,3
Trastuzumab (substance),387003001,387003001,Trastuzumab (substance),(<!49616005|Monoclonal antibody (substance)| AND <!784176007|Substance with human epidermal growth factor receptor 2 inhibitor mechanism of action (substance)| AND <!372823004|Immunosuppressant (substance)| AND <!372688009|Antineoplastic agent (substance)| AND <!304380002|Enzyme inhibitor protein (substance)|)&limit=7000,3,3
Aspirin (substance),387458008,735135008,Aspirin DL-lysine (substance),(<!255637000|Salicylate (substance)| AND <!771452004|Substance with platelet aggregation inhibitor mechanism of action (substance)| AND <!372665008|Non-steroidal anti-inflammatory agent (substance)|)&limit=7000,3,3
Aspirin (substance),387458008,387458008,Aspirin (substance),(<!255637000|Salicylate (substance)| AND <!771452004|Substance with platelet aggregation inhibitor mechanism of action (substance)| AND <!372665008|Non-steroidal anti-inflammatory agent (substance)|)&limit=7000,3,3
Aspirin (substance),387458008,111122008,Calcium carbaspirin (substance),(<!255637000|Salicylate (substance)| AND <!771452004|Substance with platelet aggregation inhibitor mechanism of action (substance)| AND <!372665008|Non-steroidal anti-inflammatory agent (substance)|)&limit=7000,3,3
Neonatal jaundice (disorder),387712008,387712008,Neonatal jaundice (disorder),(<!18165001|Jaundice (finding)| AND <!43645004|Degenerative disorder of sclera (disorder)| AND <!301905003|Lesion of eye structure (finding)| AND <!363223004|Neonatal ophthalmologic disorder (disorder)| AND <!414032001|Disorder of pigmentation (disorder)| AND <!714974000|Lesion of skin and/or skin-associated mucous membrane (finding)|)&limit=7000,1,1
Cervical spondylosis (disorder),387800004,387800004,Cervical spondylosis (disorder),(<!202814008|Cervical spine ankylosis (disorder)| AND <!8847002|Spondylosis (disorder)|)&limit=7000,1,1
Turner syndrome (disorder),38804009,254283009,Mosaicism - lines with various numbers of X chromosomes (disorder),(<!254277006|Sex chromosome abnormality - female phenotype (disorder)| AND <!111312006|Anomaly of chromosome X (disorder)|)&limit=7000,3,3
Turner syndrome (disorder),38804009,38804009,Turner syndrome (disorder),(<!254277006|Sex chromosome abnormality - female phenotype (disorder)| AND <!111312006|Anomaly of chromosome X (disorder)|)&limit=7000,3,3
Turner syndrome (disorder),38804009,35111009,Trisomy X syndrome (disorder),(<!254277006|Sex chromosome abnormality - female phenotype (disorder)| AND <!111312006|Anomaly of chromosome X (disorder)|)&limit=7000,3,3
Cystitis (disorder),38822007,38822007,Cystitis (disorder),(<!42643001|Disorder of urinary bladder (disorder)| AND <!373406006|Inflammatory disorder of genitourinary system (disorder)| AND <!363169009|Inflammation of specific body organs (disorder)|)&limit=7000,1,1
Varicella (disorder),38907003,38907003,Varicella (disorder),(<!309465005|Varicella-zoster virus infection (disorder)| AND <!721265008|Infection of skin and/or mucous membrane caused by Herpes virus (disorder)| AND <!247440002|Skin or mucosa lesion (finding)|)&limit=7000,1,1
Colposcopy (procedure),392003006,392003006,Colposcopy (procedure),(<!83607001|Gynecologic examination (procedure)| AND <!117259009|Microscopy (procedure)| AND <!423342001|Colposcopic procedure (procedure)|)&limit=7000,1,1
Proctitis (disorder),3951002,3951002,Proctitis (disorder),(<!5964004|Disorder of rectum (disorder)| AND <!302168000|Inflammation of large intestine (disorder)|)&limit=7000,1,1
Dermatomyositis (disorder),396230008,396230008,Dermatomyositis (disorder),(<!703938007|Inflammatory dermatosis (disorder)| AND <!26889001|Myositis (disorder)|)&limit=7000,1,1
Inguinal hernia (disorder),396232000,396232000,Inguinal hernia (disorder),(<!249593009|Inguinal canal finding (finding)| AND <!128545000|Hernia of abdominal wall (disorder)| AND <!118936007|Disorder of inguinal region (disorder)|)&limit=7000,1,1
Osteoarthritis (disorder),396275006,396275006,Osteoarthritis (disorder),(<!399269003|Arthropathy (disorder)| AND <!363059001|Degenerative disorder of musculoskeletal system (disorder)|)&limit=7000,1,1
Celiac disease (disorder),396331005,396331005,Celiac disease (disorder),(<!85919009|Disorder of intestine (disorder)| AND <!32230006|Malabsorption syndrome (disorder)|)&limit=7000,5,5
Celiac disease (disorder),396331005,77147000,Malabsorption in the elderly (disorder),(<!85919009|Disorder of intestine (disorder)| AND <!32230006|Malabsorption syndrome (disorder)|)&limit=7000,5,5
Celiac disease (disorder),396331005,56661000,Intestinal enteropeptidase deficiency (disorder),(<!85919009|Disorder of intestine (disorder)| AND <!32230006|Malabsorption syndrome (disorder)|)&limit=7000,5,5
Celiac disease (disorder),396331005,38032004,Nonpersistence of intestinal lactase (disorder),(<!85919009|Disorder of intestine (disorder)| AND <!32230006|Malabsorption syndrome (disorder)|)&limit=7000,5,5
Celiac disease (disorder),396331005,22169002,Intestinal disaccharidase deficiency (disorder),(<!85919009|Disorder of intestine (disorder)| AND <!32230006|Malabsorption syndrome (disorder)|)&limit=7000,5,5
Umbilical hernia (disorder),396347007,396347007,Umbilical hernia (disorder),(<!414396006|Hernia of anterior abdominal wall (disorder)| AND <!397320006|Disorder of umbilicus (disorder)|)&limit=7000,1,1
Systemic mast cell disease (disorder),397016004,397016004,Systemic mast cell disease (disorder),(<!397007003|Mast cell disorder (disorder)| AND <!56019007|Systemic disease (disorder)|)&limit=7000,1,1
Gastric ulcer (disorder),397825006,397825006,Gastric ulcer (disorder),(<!29384001|Disorder of stomach (disorder)| AND <!300296006|Lesion of stomach (finding)| AND <!13200003|Peptic ulcer (disorder)|)&limit=7000,1,1
Diverticular disease (disorder),397881000,397881000,Diverticular disease (disorder),(<!85919009|Disorder of intestine (disorder)| AND <!63532004|Multiple diverticula of intestine (finding)|)&limit=7000,1,1
Talipes equinovarus (disorder),397932003,397932003,Talipes equinovarus (disorder),(<!10989008|Talipes equinus (disorder)| AND <!766243008|Talipes varus (disorder)|)&limit=7000,1,1
Prosthetic arthroplasty of the hip (procedure),397956004,397956004,Prosthetic arthroplasty of the hip (procedure),(<!47458005|Repair of hip joint (procedure)| AND <!398010007|Insertion of hip prosthesis (procedure)|)&limit=7000,2,2
Prosthetic arthroplasty of the hip (procedure),397956004,52734007,Total replacement of hip (procedure),(<!47458005|Repair of hip joint (procedure)| AND <!398010007|Insertion of hip prosthesis (procedure)|)&limit=7000,2,2
Mixed collagen vascular disease (disorder),398049005,398049005,Mixed collagen vascular disease (disorder),(<!81573002|Collagen disease (disorder)| AND <!95329006|Autoimmune skin disease (disorder)| AND <!398021003|Connective tissue disease overlap syndrome (disorder)|)&limit=7000,1,1
Acute poliomyelitis (disorder),398102009,398102009,Acute poliomyelitis (disorder),(<!128482007|Acute inflammatory disease (disorder)| AND <!39367000|Inflammatory disease of the central nervous system (disorder)| AND <!406578005|Enterovirus infection of the central nervous system (disorder)| AND <!409631000|Acute viral disease (disorder)| AND <!721764008|Infection caused by Human poliovirus (disorder)| AND <!127341005|Acute nervous system disorder (disorder)|)&limit=7000,1,1
Ehlers-Danlos syndrome (disorder),398114001,398114001,Ehlers-Danlos syndrome (disorder),(<!73873008|Metabolic disease of collagen (disorder)| AND <!363212003|Hereditary disorder of musculoskeletal system (disorder)| AND <!50279003|Metabolic bone disease (disorder)| AND <!363070008|Developmental hereditary disorder (disorder)| AND <!363185004|Hereditary disorder of the integument (disorder)| AND <!363039000|Congenital connective tissue disorder (disorder)| AND <!312225001|Musculoskeletal and connective tissue disorder (disorder)| AND <!199879009|Congenital anomaly of skin (disorder)| AND <!95324001|Skin lesion (disorder)| AND <!8447006|Congenital anomaly of skeletal bone (disorder)| AND <!363045008|Connective tissue hereditary disorder (disorder)| AND <!105986008|Congenital skeletal dysplasia (disorder)|)&limit=7000,1,1
Poor muscle tone (finding),398152000,827065006,Normal tone in skeletal muscle (finding),(<!248402002|General finding of soft tissue (finding)| AND <!106028002|Musculoskeletal finding (finding)| AND <!366725004|Finding of muscle tone (finding)|)&limit=7000,4,4
Poor muscle tone (finding),398152000,398152000,Poor muscle tone (finding),(<!248402002|General finding of soft tissue (finding)| AND <!106028002|Musculoskeletal finding (finding)| AND <!366725004|Finding of muscle tone (finding)|)&limit=7000,4,4
Poor muscle tone (finding),398152000,250077005,Upper limb tension (finding),(<!248402002|General finding of soft tissue (finding)| AND <!106028002|Musculoskeletal finding (finding)| AND <!366725004|Finding of muscle tone (finding)|)&limit=7000,4,4
Poor muscle tone (finding),398152000,250076001,Fluctuating muscle tone (finding),(<!248402002|General finding of soft tissue (finding)| AND <!106028002|Musculoskeletal finding (finding)| AND <!366725004|Finding of muscle tone (finding)|)&limit=7000,4,4
Severe acute respiratory syndrome (disorder),398447004,398447004,Severe acute respiratory syndrome (disorder),(<!186747009|Coronavirus infection (disorder)| AND <!312133006|Viral respiratory infection (disorder)|)&limit=7000,1,1
Whiplash injury to neck (disorder),39848009,725011006,Neck pain co-occurrent with neurological deficit following whiplash injury to neck (disorder),(<!417746004|Traumatic injury (disorder)| AND <!90460009|Injury of neck (disorder)|)&limit=7000,3,3
Whiplash injury to neck (disorder),39848009,212285004,Suprascapular nerve injury (disorder),(<!417746004|Traumatic injury (disorder)| AND <!90460009|Injury of neck (disorder)|)&limit=7000,3,3
Whiplash injury to neck (disorder),39848009,39848009,Whiplash injury to neck (disorder),(<!417746004|Traumatic injury (disorder)| AND <!90460009|Injury of neck (disorder)|)&limit=7000,3,3
Colostomy (procedure),398740003,398740003,Colostomy (procedure),(<!417392003|Construction of external stoma (procedure)| AND <!361153005|Repair of stoma of large intestine (procedure)| AND <!87150006|Enterostomy (procedure)| AND <!9735005|Repair of colon (procedure)|)&limit=7000,2,2
Colostomy (procedure),398740003,315323003,Transverse colectomy with stoma (procedure),(<!417392003|Construction of external stoma (procedure)| AND <!361153005|Repair of stoma of large intestine (procedure)| AND <!87150006|Enterostomy (procedure)| AND <!9735005|Repair of colon (procedure)|)&limit=7000,2,2
Sprain of ligament (disorder),398878007,398878007,Sprain of ligament (disorder),(<!417746004|Traumatic injury (disorder)| AND <!263126002|Ligament injury (disorder)|)&limit=7000,2,2
Sprain of ligament (disorder),398878007,263142009,Traumatic division of ligament (disorder),(<!417746004|Traumatic injury (disorder)| AND <!263126002|Ligament injury (disorder)|)&limit=7000,2,2
Congestive cardiomyopathy (disorder),399020009,871646007,Infiltrative cardiomyopathy (disorder),(<!128599005|Structural disorder of heart (disorder)| AND <!85898001|Cardiomyopathy (disorder)|)&limit=7000,4,4
Congestive cardiomyopathy (disorder),399020009,399020009,Congestive cardiomyopathy (disorder),(<!128599005|Structural disorder of heart (disorder)| AND <!85898001|Cardiomyopathy (disorder)|)&limit=7000,4,4
Congestive cardiomyopathy (disorder),399020009,233873004,Hypertrophic cardiomyopathy (disorder),(<!128599005|Structural disorder of heart (disorder)| AND <!85898001|Cardiomyopathy (disorder)|)&limit=7000,4,4
Congestive cardiomyopathy (disorder),399020009,64077000,Myocardial degeneration (disorder),(<!128599005|Structural disorder of heart (disorder)| AND <!85898001|Cardiomyopathy (disorder)|)&limit=7000,4,4
Malignant tumor of prostate (disorder),399068003,399068003,Malignant tumor of prostate (disorder),(<!363515000|Malignant tumor of male genital organ (disorder)| AND <!448882009|Malignant neoplasm of intraabdominal organ (disorder)| AND <!126906006|Neoplasm of prostate (disorder)| AND <!363484005|Malignant tumor of pelvis (disorder)|)&limit=7000,1,1
Adhesive capsulitis of shoulder (disorder),399114005,399114005,Adhesive capsulitis of shoulder (disorder),(<!430940009|Disorder of glenohumeral joint (disorder)| AND <!280135003|Disorder of soft tissue of upper limb (disorder)| AND <!6858004|Capsulitis (disorder)|)&limit=7000,1,1
Hereditary spastic paraplegia (disorder),39912006,39912006,Hereditary spastic paraplegia (disorder),(<!48522003|Spinal cord disorder (disorder)| AND <!192949002|Congenital paraplegia (disorder)| AND <!106018006|Hereditary degenerative disease of central nervous system (disorder)| AND <!192967009|Spastic paraplegia (disorder)|)&limit=7000,1,1
